customer,recency,frequency,monetary,cluster,cluster_label
cf243c7bbzs,22,1,1868.98,0,Clientes que Necesitan Atención
cf37fc3bbzs,3,1,19347.02,1,Cliente Prometedor
cf3c383ebzs,9,2,8979.74,4,Cliente Perdido
cf427341bzs,6,4,3386.4,1,Cliente Prometedor
cf485aeebzs,21,1,3915.27,0,Clientes que Necesitan Atención
cf4a6d0ebzs,5,7,15076.11,1,Cliente Prometedor
cf5491cbbzs,24,1,1847.05,0,Clientes que Necesitan Atención
cf610c6fbzs,23,1,1507.9,0,Clientes que Necesitan Atención
cf6316babzs,1,87,220133.51,2,Cliente Leal
cf74da88bzs,13,1,955.06,4,Cliente Perdido
cf776975bzs,3,2,1547.51,1,Cliente Prometedor
cf95e612bzs,1,9,25716.92,1,Cliente Prometedor
cf97d118bzs,7,1,887.74,1,Cliente Prometedor
cf9e6751bzs,21,4,32814.759999999995,0,Clientes que Necesitan Atención
cfa0469cbzs,23,1,17876.35,0,Clientes que Necesitan Atención
cfa08930bzs,23,1,698.7,0,Clientes que Necesitan Atención
cfb4b629bzs,23,1,5765.55,0,Clientes que Necesitan Atención
cfb4c466bzs,21,1,23796.6,0,Clientes que Necesitan Atención
cfb91273bzs,7,9,8128.72,1,Cliente Prometedor
cfc8ba5bbzs,8,2,2799.39,4,Cliente Perdido
cfd8eb3fbzs,1,165,353032.88,3,Mejores clientes
cffa2995bzs,4,1,1713.43,1,Cliente Prometedor
cffcaffbbzs,21,1,1841.95,0,Clientes que Necesitan Atención
cffd44b7bzs,22,1,1459.11,0,Clientes que Necesitan Atención
d014db95bzs,5,1,903.04,1,Cliente Prometedor
d02fd62dbzs,23,1,904.23,0,Clientes que Necesitan Atención
d037b55fbzs,9,1,7491.39,4,Cliente Perdido
d04db776bzs,19,1,3090.26,0,Clientes que Necesitan Atención
d0553acbbzs,6,1,632.91,1,Cliente Prometedor
d064adcabzs,21,1,1063.18,0,Clientes que Necesitan Atención
d07e1ab6bzs,5,1,2423.86,1,Cliente Prometedor
d0a1b021bzs,3,1,442.85,1,Cliente Prometedor
d0aaf31fbzs,21,1,22720.5,0,Clientes que Necesitan Atención
d0ac6ccebzs,3,1,1559.58,1,Cliente Prometedor
d0b7625abzs,17,3,9549.240000000002,0,Clientes que Necesitan Atención
d0b989f0bzs,24,1,529.72,0,Clientes que Necesitan Atención
d0c79c2cbzs,23,1,3811.06,0,Clientes que Necesitan Atención
d0ddef1ebzs,11,1,761.43,4,Cliente Perdido
d0e50e09bzs,18,1,3122.22,0,Clientes que Necesitan Atención
d105a046bzs,22,1,3097.23,0,Clientes que Necesitan Atención
d105ec75bzs,20,1,698.7,0,Clientes que Necesitan Atención
d106d8a8bzs,14,1,5567.5,4,Cliente Perdido
d10ce690bzs,4,1,1355.75,1,Cliente Prometedor
d11880bcbzs,17,1,375.7,0,Clientes que Necesitan Atención
d1272d93bzs,19,2,2958.34,0,Clientes que Necesitan Atención
d1341a7abzs,21,1,718.76,0,Clientes que Necesitan Atención
d13ebb86bzs,24,1,2024.87,0,Clientes que Necesitan Atención
d14257e9bzs,20,1,1055.36,0,Clientes que Necesitan Atención
d14d9a6abzs,8,6,57917.130000000005,1,Cliente Prometedor
d1542783bzs,13,3,5491.85,4,Cliente Perdido
d1779ccbbzs,8,1,719.95,4,Cliente Perdido
